line_item_id,billing_period,usage_start_date,usage_end_date,service,resource_id,usage_type,usage_amount,usage_unit,unblended_cost,currency,region,pricing_term,tag_team,tag_environment,tag_project
LI-2014,2024-04,2024-04-01,2024-04-30,Amazon S3,technova-backups,TimedStorage-ByteHrs,1630.9936,GB-Mo,37.5129,USD,eu-central-1,Reserved,data-platform,,
LI-2015,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-006fa88,BoxUsage:t3.medium,889.5214,Hrs,37.0041,USD,eu-central-1,OnDemand,mobile,production,mobile-app
LI-2016,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-002ebbd,BoxUsage:t3.medium,571.3483,Hrs,23.7681,USD,eu-west-1,OnDemand,devops,development,infra
LI-2017,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-0079784,BoxUsage:m5.xlarge,524.5378,Hrs,100.7113,USD,eu-west-1,OnDemand,,,
LI-2018,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-sync,Lambda-GB-Second,2764528.0417,Requests,0.5529,USD,eu-central-1,OnDemand,data-platform,prod,data-lake-v2
LI-2019,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-0018d77,BoxUsage:t3.medium,777.4512,Hrs,32.342,USD,ap-southeast-1,OnDemand,mobile,,
LI-2020,2024-04,2024-04-01,2024-04-30,Amazon SQS,sqs-email,Requests,2401956.0005,Requests,0.9608,USD,eu-central-1,Reserved,backend,prod,api-core
LI-2021,2024-04,2024-04-01,2024-04-30,Amazon S3,technova-archive,TimedStorage-ByteHrs,5181.9387,GB-Mo,119.1846,USD,eu-central-1,Reserved,devops,production,infra
LI-2022,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-exports,TimedStorage-ByteHrs,4657.27,GB-Mo,107.1172,USD,eu-central-1,Reserved,,,
LI-2023,2024-06,2024-06-01,2024-06-30,Amazon ElastiCache,cache-000,NodeUsage:cache.r6g.large,847.6752,Hrs,140.7141,USD,eu-central-1,OnDemand,backend,production,api-core
LI-2024,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-archive,TimedStorage-ByteHrs,3831.4559,GB-Mo,88.1235,USD,eu-central-1,Spot,devops,prod,infra
LI-2025,2024-04,2024-04-01,2024-04-30,AWS Lambda,fn-sync,Lambda-GB-Second,2719629.2364,Requests,0.5439,USD,eu-central-1,OnDemand,,,
LI-2026,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00a8053,BoxUsage:m5.2xlarge,670.9931,Hrs,141.7138,USD,eu-central-1,Reserved,data-platform,production,data-lake-v2
LI-2027,2024-03,2024-03-01,2024-03-31,Amazon EKS,eks-staging-cluster,AmazonEKS-Hours:perCluster,818.4,Hrs,81.84,USD,eu-west-1,OnDemand,data-platform,dev,data-lake-v2
LI-2028,2024-04,2024-04-01,2024-04-30,Amazon S3,technova-frontend-assets,TimedStorage-ByteHrs,5051.8562,GB-Mo,116.1927,USD,us-east-1,Reserved,data-platform,production,data-lake-v2
LI-2029,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-00cc0bf,BoxUsage:m5.2xlarge,677.8888,Hrs,143.1701,USD,eu-west-1,Reserved,data-platform,production,data-lake-v2
LI-2030,2024-04,2024-04-01,2024-04-30,AWS Data Transfer,dt-backup,DataTransfer-Out-Internet,5242.6334,GB,471.837,USD,eu-central-1,OnDemand,,,
LI-2031,2024-05,2024-05-01,2024-05-31,AWS Lambda,fn-notify,Request,491710.4505,Requests,0.0983,USD,eu-central-1,Spot,mobile,production,mobile-app
LI-2032,2024-04,2024-04-01,2024-04-30,Amazon DynamoDB,ddb-sessions,ReadCapacityUnit-Hrs,931305.7059,Units,0.3213,USD,eu-central-1,Reserved,ml-engineering,prod,ml-platform
LI-2033,2024-01,2024-01-01,2024-01-31,Amazon CloudFront,EDIST10002,Requests-Tier1,4416.6328,GB,375.4138,USD,us-east-1,OnDemand,backend,production,api-core
LI-2034,2024-05,2024-05-01,2024-05-31,Amazon CloudFront,EDIST10003,Requests-Tier1,5831.3853,GB,495.6677,USD,eu-west-1,OnDemand,backend,production,api-core
LI-2035,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-report,Lambda-GB-Second,1267715.3497,Requests,0.2535,USD,us-east-1,OnDemand,ml-engineering,dev,ml-platform
LI-2036,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-0080aaf,BoxUsage:t3.medium,525.2533,Hrs,12.0178,USD,eu-west-1,Reserved,mobile,production,mobile-app
LI-2037,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-notify,Request,706569.112,Requests,0.1413,USD,eu-central-1,Reserved,mobile,,
LI-2038,2024-06,2024-06-01,2024-06-30,AWS Lambda,fn-processor,Request,1523414.8438,Requests,0.3047,USD,eu-central-1,OnDemand,,,
LI-2039,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-006d74e,BoxUsage:r5.xlarge,849.7281,Hrs,214.1315,USD,eu-west-1,OnDemand,devops,staging,infra
LI-2040,2024-05,2024-05-01,2024-05-31,Amazon EKS,eks-ml-cluster,AmazonEKS-Hours:perCluster,892.8,Hrs,89.28,USD,eu-central-1,Spot,devops,development,infra
LI-2041,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-00dd445,BoxUsage:c5.4xlarge,757.0101,Hrs,283.1218,USD,us-east-1,Reserved,backend,production,api-core
LI-2042,2024-03,2024-03-01,2024-03-31,AWS Data Transfer,dt-cdn,DataTransfer-Out-Internet,2340.0122,GB,210.6011,USD,eu-central-1,Spot,mobile,prod,mobile-app
LI-2043,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-0080aaf,BoxUsage:t3.medium,870.8219,Hrs,36.2262,USD,eu-west-1,OnDemand,mobile,production,mobile-app
LI-2044,2024-01,2024-01-01,2024-01-31,Amazon ElastiCache,cache-003,NodeUsage:cache.r6g.large,681.6567,Hrs,62.2353,USD,us-east-1,Reserved,mobile,prod,mobile-app
LI-2045,2024-05,2024-05-01,2024-05-31,Amazon RDS,db-04ad6,InstanceUsage:db.r5.2xlarge,870.6256,Hrs,417.9003,USD,eu-central-1,OnDemand,backend,,
LI-2046,2024-02,2024-02-01,2024-02-29,AWS Data Transfer,dt-main,DataTransfer-Out-Internet,4479.9782,GB,403.198,USD,eu-west-1,Reserved,,,
LI-2047,2024-05,2024-05-01,2024-05-31,Amazon SQS,sqs-email,Requests,3488580.3316,Requests,1.3954,USD,eu-central-1,OnDemand,backend,production,api-core
LI-2048,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-0042574,BoxUsage:c5.4xlarge,704.192,Hrs,478.8506,USD,us-east-1,OnDemand,mobile,development,mobile-app
LI-2049,2024-04,2024-04-01,2024-04-30,Amazon RDS,db-04ad6,InstanceUsage:db.t3.medium,827.5569,Hrs,56.2739,USD,eu-central-1,OnDemand,backend,staging,api-core
LI-2050,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-006d74e,BoxUsage:m5.large,568.0258,Hrs,10.9061,USD,eu-west-1,Spot,devops,staging,infra
LI-2051,2024-04,2024-04-01,2024-04-30,Amazon S3,technova-raw-logs,TimedStorage-ByteHrs,73677.0759,GB-Mo,1694.5727,USD,eu-central-1,OnDemand,,,
LI-2052,2024-02,2024-02-01,2024-02-29,Amazon RDS,db-1066f,InstanceUsage:db.t3.medium,758.3477,Hrs,51.5676,USD,eu-central-1,OnDemand,devops,,
LI-2053,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-00a8053,BoxUsage:t3.medium,830.2091,Hrs,18.9952,USD,eu-central-1,Reserved,data-platform,production,data-lake-v2
LI-2054,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-006fa88,BoxUsage:m5.2xlarge,638.4339,Hrs,49.0317,USD,eu-central-1,Spot,mobile,,
LI-2055,2024-05,2024-05-01,2024-05-31,Amazon ElastiCache,cache-001,NodeUsage:cache.r6g.large,787.437,Hrs,71.893,USD,ap-southeast-1,Reserved,data-platform,development,data-lake-v2
LI-2056,2024-05,2024-05-01,2024-05-31,Amazon RDS,db-1066f,InstanceUsage:db.r5.large,885.1837,Hrs,106.222,USD,eu-central-1,OnDemand,devops,staging,infra
LI-2057,2024-05,2024-05-01,2024-05-31,AWS Lambda,fn-auth,Lambda-GB-Second,876535.5537,Requests,0.1753,USD,eu-central-1,Reserved,backend,,
LI-2058,2024-04,2024-04-01,2024-04-30,Amazon RDS,db-053eb,InstanceUsage:db.t3.medium,779.8557,Hrs,29.1666,USD,eu-west-1,Reserved,ml-engineering,prod,ml-platform
LI-2059,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-003afd2,BoxUsage:t3.medium,693.915,Hrs,15.8768,USD,eu-central-1,Reserved,devops,,
LI-2060,2024-04,2024-04-01,2024-04-30,Amazon S3,technova-exports,TimedStorage-ByteHrs,4500.0217,GB-Mo,103.5005,USD,eu-central-1,Reserved,devops,prod,infra
LI-2061,2024-06,2024-06-01,2024-06-30,AWS Lambda,fn-gateway,Request,2223502.9595,Requests,0.4447,USD,us-east-1,Reserved,,,
LI-2062,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-00a1ae8,BoxUsage:t3.medium,733.4214,Hrs,16.7807,USD,eu-west-1,Reserved,backend,staging,api-core
LI-2063,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00a85e1,BoxUsage:r5.xlarge,611.865,Hrs,84.8045,USD,ap-southeast-1,Reserved,,,
LI-2064,2024-06,2024-06-01,2024-06-30,Amazon RDS,db-15908,InstanceUsage:db.t3.medium,926.1755,Hrs,34.639,USD,eu-central-1,Reserved,ml-engineering,production,ml-platform
LI-2065,2024-04,2024-04-01,2024-04-30,Amazon RDS,db-15908,InstanceUsage:db.t3.medium,815.1375,Hrs,30.4861,USD,eu-central-1,Reserved,ml-engineering,,
LI-2066,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-0080aaf,BoxUsage:m5.2xlarge,710.072,Hrs,272.6676,USD,eu-west-1,OnDemand,mobile,production,mobile-app
LI-2067,2024-06,2024-06-01,2024-06-30,Amazon RDS,db-02a70,InstanceUsage:db.r5.large,881.1662,Hrs,105.7399,USD,eu-central-1,OnDemand,,,
LI-2068,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-0025b36,BoxUsage:c5.4xlarge,789.0883,Hrs,295.119,USD,eu-central-1,Reserved,,,
LI-2069,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-003afd2,BoxUsage:c5.4xlarge,662.65,Hrs,247.8311,USD,eu-central-1,Reserved,devops,production,infra
LI-2070,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-media,TimedStorage-ByteHrs,443.3403,GB-Mo,10.1968,USD,us-east-1,OnDemand,data-platform,prod,data-lake-v2
LI-2071,2024-05,2024-05-01,2024-05-31,AWS Lambda,fn-sync,Lambda-GB-Second,1475606.2192,Requests,0.2951,USD,eu-central-1,OnDemand,data-platform,production,data-lake-v2
LI-2072,2024-04,2024-04-01,2024-04-30,Amazon ElastiCache,cache-004,NodeUsage:cache.m6g.xlarge,847.0894,Hrs,50.8254,USD,eu-central-1,Spot,,,
LI-2073,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-0033fc3,BoxUsage:r5.xlarge,773.0908,Hrs,107.1504,USD,eu-central-1,Reserved,backend,production,api-core
LI-2074,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-temp,TimedStorage-ByteHrs,636.5533,GB-Mo,14.6407,USD,eu-central-1,OnDemand,mobile,staging,mobile-app
LI-2075,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-0e864,InstanceUsage:db.r5.large,814.5639,Hrs,97.7477,USD,eu-central-1,OnDemand,,,
LI-2076,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00ef122,BoxUsage:m5.2xlarge,622.4257,Hrs,131.4563,USD,eu-central-1,Reserved,mobile,prod,mobile-app
LI-2077,2024-03,2024-03-01,2024-03-31,Amazon DynamoDB,ddb-sessions,TimedStorage-ByteHrs,1972808.3537,Units,0.651,USD,eu-central-1,Reserved,ml-engineering,production,ml-platform
LI-2078,2024-05,2024-05-01,2024-05-31,Amazon RDS,db-02a70,InstanceUsage:db.r5.2xlarge,829.3421,Hrs,398.0842,USD,eu-central-1,OnDemand,ml-engineering,development,ml-platform
LI-2079,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-0079784,BoxUsage:r5.xlarge,683.583,Hrs,172.2629,USD,eu-west-1,OnDemand,ml-engineering,staging,ml-platform
LI-2080,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-00f28c5,BoxUsage:c5.4xlarge,809.5887,Hrs,550.5203,USD,us-east-1,OnDemand,,,
LI-2081,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-0042574,BoxUsage:m5.2xlarge,714.8339,Hrs,150.9729,USD,us-east-1,Reserved,mobile,,
LI-2082,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-006fa88,BoxUsage:m5.xlarge,585.1713,Hrs,61.7941,USD,eu-central-1,Reserved,mobile,production,mobile-app
LI-2083,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00222e7,BoxUsage:t3.medium,594.2265,Hrs,24.7198,USD,eu-west-1,OnDemand,ml-engineering,development,ml-platform
LI-2084,2024-06,2024-06-01,2024-06-30,Amazon ElastiCache,cache-002,NodeUsage:cache.r6g.large,825.2982,Hrs,136.9995,USD,eu-west-1,OnDemand,,,
LI-2085,2024-04,2024-04-01,2024-04-30,Amazon ElastiCache,cache-003,NodeUsage:cache.m6g.xlarge,818.9599,Hrs,135.1284,USD,us-east-1,Reserved,,,
LI-2086,2024-06,2024-06-01,2024-06-30,Amazon ElastiCache,cache-004,NodeUsage:cache.m6g.xlarge,839.6401,Hrs,251.892,USD,eu-central-1,OnDemand,ml-engineering,dev,ml-platform
LI-2087,2024-04,2024-04-01,2024-04-30,AWS Lambda,fn-processor,Lambda-GB-Second,2651116.8586,Requests,0.5302,USD,eu-central-1,OnDemand,ml-engineering,,
LI-2088,2024-01,2024-01-01,2024-01-31,Amazon DynamoDB,ddb-events,TimedStorage-ByteHrs,1589735.3966,Units,0.4769,USD,eu-west-1,OnDemand,,,
LI-2089,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-0042574,BoxUsage:m5.2xlarge,676.8066,Hrs,259.8937,USD,us-east-1,OnDemand,mobile,dev,mobile-app
LI-2090,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-004149a,BoxUsage:m5.2xlarge,541.259,Hrs,207.8434,USD,eu-central-1,OnDemand,data-platform,staging,data-lake-v2
LI-2091,2024-01,2024-01-01,2024-01-31,Amazon DynamoDB,ddb-cart,TimedStorage-ByteHrs,3431832.8803,Units,1.0295,USD,eu-west-1,Reserved,backend,dev,api-core
LI-2092,2024-05,2024-05-01,2024-05-31,Amazon S3,technova-artifacts,TimedStorage-ByteHrs,6243.7972,GB-Mo,143.6073,USD,eu-west-1,Spot,ml-engineering,,
LI-2093,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-15908,InstanceUsage:db.r5.large,656.9412,Hrs,43.3581,USD,eu-central-1,Reserved,ml-engineering,production,ml-platform
LI-2094,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-00cc0bf,BoxUsage:m5.large,684.6445,Hrs,36.1492,USD,eu-west-1,Reserved,data-platform,production,data-lake-v2
LI-2095,2024-04,2024-04-01,2024-04-30,Amazon SQS,sqs-events,Requests,7525472.8643,Requests,3.0102,USD,eu-central-1,Spot,data-platform,,
LI-2096,2024-02,2024-02-01,2024-02-29,Amazon EKS,eks-ml-cluster,AmazonEKS-Hours:perCluster,781.2,Hrs,78.12,USD,eu-central-1,Spot,,,
LI-2097,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-00a1ae8,BoxUsage:r5.xlarge,670.2787,Hrs,33.782,USD,eu-west-1,Spot,backend,staging,api-core
LI-2098,2024-06,2024-06-01,2024-06-30,Amazon ElastiCache,cache-003,NodeUsage:cache.m6g.xlarge,819.8988,Hrs,135.2833,USD,us-east-1,Reserved,mobile,production,mobile-app
LI-2099,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-002ebbd,BoxUsage:m5.large,622.3374,Hrs,59.7444,USD,eu-west-1,OnDemand,devops,,
LI-2100,2024-03,2024-03-01,2024-03-31,Amazon RDS,db-0c893,InstanceUsage:db.r5.large,728.062,Hrs,87.3674,USD,us-east-1,OnDemand,mobile,staging,mobile-app
LI-2101,2024-03,2024-03-01,2024-03-31,AWS Lambda,fn-router,Request,1815692.3401,Requests,0.3631,USD,eu-central-1,OnDemand,devops,staging,infra
LI-2102,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-002ebbd,BoxUsage:r5.xlarge,768.4268,Hrs,38.7287,USD,eu-west-1,Spot,devops,,
LI-2103,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-raw-logs,TimedStorage-ByteHrs,79174.0596,GB-Mo,1821.0034,USD,eu-central-1,Spot,ml-engineering,dev,ml-platform
LI-2104,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-00a85e1,BoxUsage:c5.4xlarge,644.61,Hrs,241.0841,USD,ap-southeast-1,Reserved,backend,production,api-core
LI-2105,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-00dd445,BoxUsage:m5.2xlarge,821.968,Hrs,315.6357,USD,us-east-1,OnDemand,backend,production,api-core
LI-2106,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-005ca6d,BoxUsage:r5.xlarge,805.3934,Hrs,40.5918,USD,eu-central-1,Spot,ml-engineering,staging,ml-platform
LI-2107,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-backups,TimedStorage-ByteHrs,1128.7738,GB-Mo,25.9618,USD,eu-central-1,OnDemand,data-platform,development,data-lake-v2
LI-2108,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-002ebbd,BoxUsage:r5.xlarge,777.7914,Hrs,39.2007,USD,eu-west-1,Spot,,,
LI-2109,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00cc0bf,BoxUsage:m5.2xlarge,560.4834,Hrs,215.2256,USD,eu-west-1,OnDemand,,,
LI-2110,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-0018d77,BoxUsage:t3.medium,728.0497,Hrs,6.0574,USD,ap-southeast-1,Spot,mobile,staging,mobile-app
LI-2111,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-0079784,BoxUsage:m5.2xlarge,831.783,Hrs,319.4047,USD,eu-west-1,OnDemand,ml-engineering,staging,ml-platform
LI-2112,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-report,Request,2385173.3976,Requests,0.477,USD,us-east-1,OnDemand,ml-engineering,dev,ml-platform
LI-2113,2024-02,2024-02-01,2024-02-29,Amazon S3,technova-artifacts,TimedStorage-ByteHrs,4325.677,GB-Mo,99.4906,USD,eu-west-1,OnDemand,ml-engineering,,
LI-2114,2024-04,2024-04-01,2024-04-30,Amazon CloudFront,EDIST10000,DataTransfer-Out-Bytes,9145.6227,GB,777.3779,USD,ap-southeast-1,OnDemand,,,
LI-2115,2024-06,2024-06-01,2024-06-30,Amazon CloudFront,EDIST10003,Requests-Tier1,2891.072,GB,245.7411,USD,eu-west-1,OnDemand,,,
LI-2116,2024-01,2024-01-01,2024-01-31,Amazon CloudFront,EDIST10001,Requests-Tier1,4227.7007,GB,359.3546,USD,eu-west-1,Spot,devops,development,infra
LI-2117,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-005cf07,BoxUsage:m5.xlarge,622.9171,Hrs,119.6001,USD,eu-west-1,OnDemand,,,
LI-2118,2024-01,2024-01-01,2024-01-31,Amazon RDS,db-1066f,InstanceUsage:db.t3.medium,666.0776,Hrs,45.2933,USD,eu-central-1,OnDemand,devops,,
LI-2119,2024-06,2024-06-01,2024-06-30,AWS Lambda,fn-notify,Request,2407504.4017,Requests,0.4815,USD,eu-central-1,Reserved,mobile,prod,mobile-app
LI-2120,2024-02,2024-02-01,2024-02-29,Amazon EC2,i-0080aaf,BoxUsage:c5.4xlarge,744.0967,Hrs,505.9858,USD,eu-west-1,OnDemand,mobile,production,mobile-app
LI-2121,2024-06,2024-06-01,2024-06-30,Amazon S3,technova-raw-logs,TimedStorage-ByteHrs,76456.1967,GB-Mo,1758.4925,USD,eu-central-1,Spot,ml-engineering,development,ml-platform
LI-2122,2024-04,2024-04-01,2024-04-30,Amazon CloudFront,EDIST10001,DataTransfer-Out-Bytes,5255.1668,GB,446.6892,USD,eu-west-1,OnDemand,,,
LI-2123,2024-01,2024-01-01,2024-01-31,AWS Lambda,fn-router,Lambda-GB-Second,780797.5121,Requests,0.1562,USD,eu-central-1,OnDemand,devops,staging,infra
LI-2124,2024-03,2024-03-01,2024-03-31,Amazon EKS,eks-ml-cluster,AmazonEKS-Hours:perCluster,818.4,Hrs,81.84,USD,eu-central-1,OnDemand,,,
LI-2125,2024-01,2024-01-01,2024-01-31,Amazon EC2,i-00f28c5,BoxUsage:c5.4xlarge,663.1646,Hrs,248.0236,USD,us-east-1,Reserved,data-platform,production,data-lake-v2
LI-2126,2024-02,2024-02-01,2024-02-29,Amazon DynamoDB,ddb-users,TimedStorage-ByteHrs,1318383.4674,Units,0.4153,USD,eu-west-1,Reserved,mobile,production,mobile-app
LI-2127,2024-06,2024-06-01,2024-06-30,Amazon EC2,i-002ebbd,BoxUsage:m5.large,923.2881,Hrs,17.7271,USD,eu-west-1,Spot,devops,dev,infra
LI-2128,2024-04,2024-04-01,2024-04-30,Amazon DynamoDB,ddb-catalog,TimedStorage-ByteHrs,3341277.3314,Units,1.1527,USD,eu-central-1,OnDemand,devops,staging,infra
LI-2129,2024-04,2024-04-01,2024-04-30,Amazon EC2,i-003afd2,BoxUsage:t3.medium,631.1363,Hrs,26.2553,USD,eu-central-1,OnDemand,devops,,
LI-2130,2024-03,2024-03-01,2024-03-31,Amazon S3,technova-temp,TimedStorage-ByteHrs,2853.2333,GB-Mo,65.6244,USD,eu-central-1,OnDemand,,,
LI-2131,2024-02,2024-02-01,2024-02-29,Amazon DynamoDB,ddb-catalog,TimedStorage-ByteHrs,4908853.7732,Units,1.5463,USD,eu-central-1,OnDemand,devops,staging,infra
LI-2132,2024-06,2024-06-01,2024-06-30,AWS Lambda,fn-auth,Lambda-GB-Second,2377464.3951,Requests,0.4755,USD,eu-central-1,Reserved,backend,production,api-core
LI-2133,2024-05,2024-05-01,2024-05-31,Amazon EC2,i-0079784,BoxUsage:m5.2xlarge,860.5375,Hrs,66.0893,USD,eu-west-1,Spot,ml-engineering,staging,ml-platform
LI-2134,2024-05,2024-05-01,2024-05-31,Amazon SQS,sqs-events,Requests,9606091.1169,Requests,3.8424,USD,eu-central-1,OnDemand,data-platform,dev,data-lake-v2
LI-2135,2024-01,2024-01-01,2024-01-31,Amazon S3,technova-archive,TimedStorage-ByteHrs,3706.002,GB-Mo,85.238,USD,eu-central-1,Reserved,devops,production,infra
LI-2136,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-00a8053,BoxUsage:c5.4xlarge,779.4181,Hrs,530.0043,USD,eu-central-1,OnDemand,,,
LI-2137,2024-05,2024-05-01,2024-05-31,AWS Lambda,fn-report,Request,2065195.1769,Requests,0.413,USD,us-east-1,OnDemand,ml-engineering,,
LI-2138,2024-04,2024-04-01,2024-04-30,Amazon SQS,sqs-jobs,Requests,8463900.6836,Requests,3.3856,USD,eu-central-1,OnDemand,backend,development,api-core
LI-2139,2024-02,2024-02-01,2024-02-29,Amazon EKS,eks-prod-cluster,AmazonEKS-Hours:perCluster,781.2,Hrs,78.12,USD,eu-central-1,OnDemand,backend,staging,api-core
LI-2140,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-0025b36,BoxUsage:r5.xlarge,706.8929,Hrs,97.9754,USD,eu-central-1,Reserved,,,
LI-2141,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-0018d77,BoxUsage:t3.medium,728.6907,Hrs,30.3135,USD,ap-southeast-1,OnDemand,,,
LI-2142,2024-01,2024-01-01,2024-01-31,Amazon ElastiCache,cache-001,NodeUsage:cache.m6g.xlarge,727.0601,Hrs,218.118,USD,ap-southeast-1,OnDemand,data-platform,development,data-lake-v2
LI-2143,2024-03,2024-03-01,2024-03-31,Amazon DynamoDB,ddb-events,TimedStorage-ByteHrs,2604020.2375,Units,0.8593,USD,eu-west-1,OnDemand,devops,development,infra
LI-2144,2024-02,2024-02-01,2024-02-29,AWS Lambda,fn-auth,Lambda-GB-Second,2395996.3999,Requests,0.4792,USD,eu-central-1,Spot,backend,production,api-core
LI-2145,2024-03,2024-03-01,2024-03-31,Amazon EC2,i-006d74e,BoxUsage:r5.xlarge,605.5416,Hrs,152.5965,USD,eu-west-1,OnDemand,devops,staging,infra
LI-2146,2024-01,2024-01-01,2024-01-31,Amazon DynamoDB,ddb-logs,WriteCapacityUnit-Hrs,4960694.982,Units,1.4882,USD,ap-southeast-1,Reserved,mobile,production,mobile-app
